App name,URL,Old line number,New Line number,Imported library
mitmproxy,https://github.com/mitmproxy/mitmproxy/commit/280b491#diff-838644283e9edfc716ddb2bbb9460e65,57,67,hyperframe
agithub,https://github.com/jpaugh/agithub/commit/8e434b2#diff-7ea87e5f938201eb34e7dc9803ebd1f3,52,54-56,txaio
ajenti,https://github.com/ajenti/ajenti/commit/c10e155#diff-7b1b1e8f838559f2ef6cfe6bb92c5640,13-21,15,psutil
aleph,https://github.com/alephdata/aleph/commit/8e229bf#diff-354ae2f109e919cb5d1f21d71450654a,94,102,followthemoney
aleph,https://github.com/alephdata/aleph/commit/98f9af6#diff-7294ca5d03a0ce548ff1979f522f45a8,46,46,banal
anaconda,https://github.com/rhinstaller/anaconda/commit/45744e5#diff-36273806c589fcffd7c9c72d5682590b,745,746,resource
aodh,https://github.com/openstack/aodh/commit/ae64a79#diff-049607b1644deb5ecdeffe93ba965a89,80,55,stevedore
Arelle,https://github.com/Arelle/Arelle/commit/72996cf#diff-c2e872e81057bd26e8a188cf640bb27dL923,927,912,rdflib
Arpeggio,https://github.com/igordejanovic/Arpeggio/commit/59b4c15#diff-50b59008a60a728670b293084a6fe042,28,28,logging
asphalt,https://github.com/asphalt-framework/asphalt/commit/19b06de#diff-a9435e2ee4230a2889eb27c3cdef1454,28,28,asyncio
autobahn-python,https://github.com/crossbario/autobahn-python/commit/7c5c882#diff-22399e00c34608b30bb4f1b05276cf8f,462,464,txaio
awx,https://github.com/ansible/awx/commit/768d9d6#diff-e1b892a9be15decaf6146d4cae998b39L748,751,733,oslo.utils
barbican,https://github.com/openstack/barbican/commit/daa0517#diff-7e6ee5f92a818b5c7d27010138580ab8,80,61,pecan
beets,https://github.com/beetbox/beets/commit/57196e6#diff-a057e3cf0bad9673fe65d8f2c9366477,212,212,jellyfish
BiblioPixel,https://github.com/ManiacalLabs/BiblioPixel/commit/d439ec2#diff-2267f7a47448439755cb6476bd99f554,9,9,gitty
brozzler,https://github.com/internetarchive/brozzler/commit/12fb9ea#diff-cdba4636c5343bd4816724b04952e60d,256,257,urlcanon
cctbx_project,https://github.com/cctbx/cctbx_project/commit/510dc91#diff-134331e09cd93752ee3762a9123f09ee,140,123,numpy
celery,https://github.com/celery/celery/commit/48a55d3#diff-3fab870a1404d795edf0190e0774fc5b,81-84,147,python-daemon
certbot,https://github.com/certbot/certbot/commit/37a015f#diff-f5ae0463188bea8f049e75421d14eef9,419,425,zope.component
cinder,https://github.com/openstack/cinder/commit/7d341e2#diff-06d416b718d9c1ae5e7d5a51831a6a1f,211,211,oslo.utils
ironic,https://github.com/openstack/ironic/commit/72b871e#diff-a877786ae1a8b6a4bb85c2694346a5bd,213,213,oslo.utils
commcare-hq,https://github.com/dimagi/commcare-hq/commit/3f70677#diff-597545574657c656fd164ce865186eda,116,95,couchexport
cookiecutter,https://github.com/audreyr/cookiecutter/commit/5cb19d9#diff-663521a50181d20e5d71c4571217551e,37,37,io.open
crazyflie-clients-python,https://github.com/bitcraze/crazyflie-clients-python/commit/969d5ab#diff-5988335b7744848e62440368f6ab01c2,68,33,appdirs
dask,https://github.com/dask/dask/commit/49920d6#diff-08cca2be1d0ddcb396862ead9f5b3089,453,453,pytest
django-mysql,https://github.com/adamchainz/django-mysql/commit/4cec88a#diff-2eeaed663bd0d25b7e608891384b7298,65,56,setuptools
django-sass-processor,https://github.com/jrief/django-sass-processor/commit/9e9e6ca#diff-2eeaed663bd0d25b7e608891384b7298,37,39,pypandoc
dongerdong,https://github.com/tonyravioli/dongerdong/commit/c7105ac#diff-f56a7d816940bf40b2fa273fdaab56ed,387-411,393,Figlet
eliot,https://github.com/ScatterHQ/eliot/commit/f60e9a0#diff-2eeaed663bd0d25b7e608891384b7298,42,33,versioneer
EQcorrscan,https://github.com/eqcorrscan/EQcorrscan/commit/2aa3ac0#diff-921e678913733ed6f575fcc7a038e15a,258,298,unittest
evennia,https://github.com/evennia/evennia/commit/2846e64#diff-9cc10830aba7ef51106f9fee2512820c,514,621,importlib
f5-ansible,https://github.com/F5Networks/f5-ansible/commit/1eaa6cf#diff-2d56a17f77aa477d916dddac4da2ae3d,551-552,277-278,isoparser
fofix,https://github.com/fofix/fofix/commit/7cfcea5#diff-a432ba0087386e7115d9f5c517ace74c,322,322,cerealizer
freqtrade,https://github.com/gcarq/freqtrade/commit/e3eaad0#diff-04d2c9518498da64bfa9db44c6211645,23,81,jsonschema
HTTPretty,https://github.com/gabrielfalcao/HTTPretty/commit/1c4727a#diff-2eeaed663bd0d25b7e608891384b7298,64,53,setuptools
ibis,https://github.com/ibis-project/ibis/commit/1b661b5#diff-3cbcb515a8df92e47b0d0e6cf401505d,333,341,toolz
jrnl,https://github.com/maebert/jrnl/commit/ca7a804#diff-01eb7265bc17d27883e8cc95957386cc,123,124,tzlocal
libsass-python,https://github.com/sass/libsass-python/commit/4beef0f#diff-d9e567dd2619629c4e9fc65b525529f1,233,234,pytest
mackup,https://github.com/lra/mackup/commit/1bdcb52#diff-08ce0769c06cc15f8715ee69a9b46093,34,38,docopt
mailinabox,https://github.com/mail-in-a-box/mailinabox/commit/a081d04#diff-655235d5ffbb2cd711c3c2d8ed1ab02a,207,208,exclusiveprocess
memorious,https://github.com/alephdata/memorious/commit/b8cfa04#diff-0e5d1afe86ef19f5428f0432cbc3c539,48,48-50,urlnormalizer
moneywagon,https://github.com/priestc/moneywagon/commit/574b1e6#diff-1b270090e9edb0313e370a72dcfc7014,98,79,base58
mutagen,https://github.com/quodlibet/mutagen/commit/0f10a43#diff-498cf53d35427897613cdfc4b76fc6ea,176-184,106,pytest
netdisco,https://github.com/home-assistant/netdisco/commit/bfde517#diff-f66ce51162f900ee991e65c4274495f9,121,122,ipaddress
nova,https://github.com/openstack/nova/commit/d17e701#diff-c4a9886c5c7a2095bdcfeb79fd53f316,317,318,cursive
nova,https://github.com/openstack/nova/commit/05958d4#diff-b1a0af3c38a282af3435a05f5d126617,223,223,oslo.utils
paperwork,https://github.com/openpaperwork/paperwork/commit/7da7ae9#diff-c3c9d29f90aa67ee1039c618b25604fd,362,324,pyinsane2
patator,https://github.com/lanjelot/patator/commit/2a1b9c5#diff-ecdc9bf3a2bc7ee0b44538f5ca9ddc9bL2583,2588,2533,MSSQL
pitivi,https://github.com/GNOME/pitivi/commit/1d7ae66#diff-cc86f6f544c9821addfcbe138f404fe2,227,224,unittest
pre-commit,https://github.com/pre-commit/pre-commit/commit/c65a11c#diff-83205468a6e0cd4a6f7722858822325f,40,40,six
pretenders,https://github.com/pretenders/pretenders/commit/82820c8#diff-6e7605ef5fe188898579b44380ec5020,60,24,bottle
pushbullet-cli,https://github.com/GustavoKatel/pushbullet-cli/commit/a36042d#diff-cad868cc2c32005091fb79dc50825f24,107-108,95,keyring
pycalphad,https://github.com/pycalphad/pycalphad/commit/2b093e5#diff-0b9d643d9b007554554adea9bb08370d,518,442,xarray
pyformat.info,https://github.com/ulope/pyformat.info/commit/68c0db9#diff-5bc02cefb3ea9e27f1a6776eabd1935dL165,169,163,ast
pyload,https://github.com/pyload/pyload/commit/0557925#diff-a1a5d3b0c7956df950790ada5e9c395d,132,132,js2py
python2-trepan,https://github.com/rocky/python2-trepan/commit/1a2eb2a#diff-49d31b30710a0d88860d29646c6e6014,135,135,pyficache
python-hearthstone,https://github.com/HearthSim/python-hearthstone/commit/d61e534#diff-abcbf3fb86226de1458984e4be1a150a,482,468,aniso8601
python-uncompyle6,https://github.com/rocky/python-uncompyle6/commit/af3d46b#diff-27b51e32972dc5dc6de9304b05cc47c3,521,522,xdis
pyvcloud,https://github.com/vmware/pyvcloud/commit/923ec3f#diff-bd1219c3f52b6d12cc36a72603e0959c,244,234,humanfriendly
rasterio,https://github.com/mapbox/rasterio/commit/6987299#diff-c489559f28d7ebbfaed151cf3092c45e,35,37,affine
redash,https://github.com/getredash/redash/commit/8a171ba#diff-3e796a1920be4aad17b502a86487e55f,85,38,jsonschema
shade,https://github.com/openstack-infra/shade/commit/10a3bb1#diff-8170bdb23209d2a77e484c8b86bf9fcf,2151,2153,ipaddress
twisted,https://github.com/twisted/twisted/commit/e2e0c71#diff-19a383d67f518cb991c253b231d176ee,181,181,hyperlink
voltron,https://github.com/snare/voltron/commit/bb523f5#diff-1d5e300fe49b0dad81398113b70d083d,60,8,scruffy
WeasyPrint,https://github.com/Kozea/WeasyPrint/commit/f29d23b#diff-7154e6dbb71eeeb48f06739352549dcdL699,704,325,pdfrw